/Display_name,/Name,/Process_id,/Start_mode,/State,/Status
accounts-daemon.service,,0,,active,running
acpid.service,,0,,active,running
anydesk.service,,0,,active,running
avahi-daemon.service,,0,,active,running
bolt.service,,0,,active,running
colord.service,,0,,active,running
containerd.service,,0,,active,running
cron.service,,0,,active,running
cups-browsed.service,,0,,active,running
cups.service,,0,,active,running
dbus.service,,0,,active,running
docker.service,,0,,active,running
gdm.service,,0,,active,running
irqbalance.service,,0,,active,running
kerneloops.service,,0,,active,running
ModemManager.service,,0,,active,running
mysql.service,,0,,active,running
networkd-dispatcher.service,,0,,active,running
NetworkManager.service,,0,,active,running
nginx.service,,0,,active,running
open-vm-tools.service,,0,,active,running
packagekit.service,,0,,active,running
polkit.service,,0,,active,running
rsyslog.service,,0,,active,running
rtkit-daemon.service,,0,,active,running
ssh.service,,0,,active,running
strongswan.service,,0,,active,running
systemd-journald.service,,0,,active,running
systemd-logind.service,,0,,active,running
systemd-networkd.service,,0,,active,running
systemd-resolved.service,,0,,active,running
systemd-timesyncd.service,,0,,active,running
systemd-udevd.service,,0,,active,running
udisks2.service,,0,,active,running
unattended-upgrades.service,,0,,active,running
upower.service,,0,,active,running
user@1000.service,,0,,active,running
user@120.service,,0,,active,running
vgauth.service,,0,,active,running
whoopsie.service,,0,,active,running
wpa_supplicant.service,,0,,active,running
xl2tpd.service,,0,,active,running

/Total Servcies Running
42
