/Display_name,/Product_code,/Version
accountsservice,,0.6.45-1ubuntu1.3
acl,,2.2.52-3build1
acpi-support,,0.142
acpid,,1:2.0.28-1ubuntu1
adduser,,3.116ubuntu1
adium-theme-ubuntu,,0.3.4-0ubuntu4
adwaita-icon-theme,,3.28.0-1ubuntu1
aisleriot,,1:3.22.5-1
alsa-base,,1.0.25+dfsg-0ubuntu5
alsa-utils,,1.1.3-1ubuntu1
amd64-microcode,,3.20191021.1+really3.20181128.1~ubuntu0.18.04.1
anacron,,2.3-24
ant,,1.10.3-1
ant-optional,,1.10.3-1
antlr,,2.7.7+dfsg-9.2
anydesk,,6.1.1
apache2,,2.4.29-1ubuntu4.18
apache2-bin,,2.4.29-1ubuntu4.18
apache2-data,,2.4.29-1ubuntu4.18
apache2-utils,,2.4.29-1ubuntu4.18
apg,,2.2.3.dfsg.1-5
app-install-data-partner,,16.04
apparmor,,2.12-4ubuntu5.1
apport,,2.20.9-0ubuntu7.27
apport-gtk,,2.20.9-0ubuntu7.27
apport-symptoms,,0.20
appstream,,0.12.0-3
apt,,1.6.12ubuntu0.2
apt-config-icons,,0.12.0-3
apt-transport-https,,1.6.14
apt-utils,,1.6.12ubuntu0.2
aptdaemon,,1.1.1+bzr982-0ubuntu19.5
aptdaemon-data,,1.1.1+bzr982-0ubuntu19.5
apturl,,0.5.2ubuntu14
apturl-common,,0.5.2ubuntu14
aspell,,0.60.7~20110707-4ubuntu0.2
aspell-en,,2017.08.24-0-0.1
at-spi2-core,,2.28.0-1
avahi-autoipd,,0.7-3.1ubuntu1.3
avahi-daemon,,0.7-3.1ubuntu1.3
avahi-utils,,0.7-3.1ubuntu1.3
baobab,,3.28.0-1
base-files,,10.1ubuntu2
base-passwd,,3.5.44
bash,,4.4.18-2ubuntu1
bash-completion,,1:2.8-1ubuntu1
bc,,1.07.1-2
bind9-host,,1:9.11.3+dfsg-1ubuntu1.16
binutils,,2.30-21ubuntu1~18.04.7
binutils-common:amd64,,2.30-21ubuntu1~18.04.7
binutils-x86-64-linux-gnu,,2.30-21ubuntu1~18.04.7
bluez,,5.48-0ubuntu3.5
bluez-cups,,5.48-0ubuntu3.5
bluez-obexd,,5.48-0ubuntu3.5
bolt,,0.2-0ubuntu1
branding-ubuntu,,0.10
brltty,,5.5-4ubuntu2
bsdmainutils,,11.1.2ubuntu1
bsdutils,,1:2.31.1-0.4ubuntu3.7
build-essential,,12.4ubuntu1
busybox-initramfs,,1:1.27.2-2ubuntu3.3
busybox-static,,1:1.27.2-2ubuntu3.3
bzip2,,1.0.6-8.1ubuntu0.2
ca-certificates,,20210119~18.04.2
ca-certificates-java,,20180516ubuntu1~18.04.1
cgroupfs-mount,,1.4
cheese,,3.28.0-1ubuntu1
cheese-common,,3.28.0-1ubuntu1
code,,1.61.2-1634656828
colord,,1.3.3-2build1
colord-data,,1.3.3-2build1
command-not-found,,18.04.4
command-not-found-data,,18.04.4
conntrack,,1:1.4.4+snapshot20161117-6ubuntu2
console-setup,,1.178ubuntu2
console-setup-linux,,1.178ubuntu2
containerd.io,,1.4.12-1
coreutils,,8.28-1ubuntu1
cpio,,2.12+dfsg-6ubuntu0.18.04.4
cpp,,4:7.4.0-1ubuntu2.3
cpp-7,,7.5.0-3ubuntu1~18.04
cracklib-runtime,,2.9.2-5build1
crda,,3.18-1build1
cri-tools,,1.13.0-01
cron,,3.0pl1-128.1ubuntu1
cups,,2.2.7-1ubuntu2.8
cups-browsed,,1.20.2-0ubuntu3.1
cups-bsd,,2.2.7-1ubuntu2.8
cups-client,,2.2.7-1ubuntu2.8
cups-common,,2.2.7-1ubuntu2.8
cups-core-drivers,,2.2.7-1ubuntu2.8
cups-daemon,,2.2.7-1ubuntu2.8
cups-filters,,1.20.2-0ubuntu3.1
cups-filters-core-drivers,,1.20.2-0ubuntu3.1
cups-ipp-utils,,2.2.7-1ubuntu2.8
cups-pk-helper,,0.2.6-1ubuntu1
cups-ppdc,,2.2.7-1ubuntu2.8
cups-server-common,,2.2.7-1ubuntu2.8
curl,,7.58.0-2ubuntu3.16
cvs,,2:1.12.13+real-26
daemon,,0.6.4-1build1
dash,,0.5.8-2.10
dbus,,1.12.2-1ubuntu1.2
dbus-user-session,,1.12.2-1ubuntu1.2
dbus-x11,,1.12.2-1ubuntu1.2
dc,,1.07.1-2
dconf-cli,,0.26.0-2ubuntu3
dconf-gsettings-backend:amd64,,0.26.0-2ubuntu3
dconf-service,,0.26.0-2ubuntu3
debconf,,1.5.66
debconf-i18n,,1.5.66
debianutils,,4.8.4
default-jre,,2:1.11-68ubuntu1~18.04.1
default-jre-headless,,2:1.11-68ubuntu1~18.04.1
deja-dup,,37.1-2fakesync1
desktop-file-utils,,0.23-1ubuntu3
dh-python,,3.20180325ubuntu2
dictionaries-common,,1.27.2
diffstat,,1.61-1build1
diffutils,,1:3.6-1
dirmngr,,2.2.4-1ubuntu1.4
distro-info-data,,0.37ubuntu0.13
dmidecode,,3.1-1
dmsetup,,2:1.02.145-4.1ubuntu3
dmz-cursor-theme,,0.4.5ubuntu1
dns-root-data,,2018013001
dnsmasq-base,,2.79-1ubuntu0.4
dnsutils,,1:9.11.3+dfsg-1ubuntu1.16
docker,,1.5-1build1
docker-ce,,5:20.10.16~3-0~ubuntu-bionic
docker-ce-cli,,5:20.10.16~3-0~ubuntu-bionic
docker-ce-rootless-extras,,5:20.10.7~3-0~ubuntu-bionic
docker-compose,,1.17.1-2
docker-scan-plugin,,0.8.0~ubuntu-bionic
docutils-common,,0.14+dfsg-3
dosfstools,,4.1-1
dpkg,,1.19.0.5ubuntu2
dpkg-dev,,1.19.0.5ubuntu2.3
e2fsprogs,,1.44.1-1ubuntu1.3
ebtables,,2.0.10.4-3.5ubuntu2.18.04.3
ed,,1.10-2.1
efibootmgr,,15-1
eject,,2.1.5+deb1+cvs20081104-13.2
emacsen-common,,2.0.8
enchant,,1.6.0-11.1
eog,,3.28.1-1
erlang-asn1,,1:23.0.3-1
erlang-base,,1:23.0.3-1
erlang-crypto,,1:23.0.3-1
erlang-eldap,,1:23.0.3-1
erlang-ftp,,1:23.0.3-1
erlang-inets,,1:23.0.3-1
erlang-mnesia,,1:23.0.3-1
erlang-os-mon,,1:23.0.3-1
erlang-parsetools,,1:23.0.3-1
erlang-public-key,,1:23.0.3-1
erlang-runtime-tools,,1:23.0.3-1
erlang-snmp,,1:23.0.3-1
erlang-ssl,,1:23.0.3-1
erlang-syntax-tools,,1:23.0.3-1
erlang-tftp,,1:23.0.3-1
erlang-tools,,1:23.0.3-1
erlang-xmerl,,1:23.0.3-1
espeak-ng-data:amd64,,1.49.2+dfsg-1
ethtool,,1:4.15-0ubuntu1
evince,,3.28.4-0ubuntu1.2
evince-common,,3.28.4-0ubuntu1.2
evolution-data-server,,3.28.5-0ubuntu0.18.04.3
evolution-data-server-common,,3.28.5-0ubuntu0.18.04.3
example-content,,50
fakeroot,,1.22-2ubuntu1
fdisk,,2.31.1-0.4ubuntu3.7
file,,1:5.32-2ubuntu0.4
file-roller,,3.28.0-1ubuntu1.3
findutils,,4.6.0+git+20170828-2
firefox,,94.0+build3-0ubuntu0.18.04.1
firefox-locale-en,,94.0+build3-0ubuntu0.18.04.1
fontconfig,,2.12.6-0ubuntu2
fontconfig-config,,2.12.6-0ubuntu2
fonts-beng,,2:1.2
fonts-beng-extra,,1.0-6
fonts-dejavu-core,,2.37-1
fonts-dejavu-extra,,2.37-1
fonts-deva,,2:1.2
fonts-deva-extra,,3.0-4
fonts-droid-fallback,,1:6.0.1r16-1.1
fonts-freefont-ttf,,20120503-7
fonts-gargi,,2.0-4
fonts-gubbi,,1.3-3
fonts-gujr,,2:1.2
fonts-gujr-extra,,1.0-6
fonts-guru,,2:1.2
fonts-guru-extra,,2.0-4
fonts-indic,,2:1.2
fonts-kacst,,2.01+mry-14
fonts-kacst-one,,5.0+svn11846-9
fonts-kalapi,,1.0-2
fonts-khmeros-core,,5.0-7ubuntu1
fonts-knda,,2:1.2
fonts-lao,,0.0.20060226-9ubuntu1
fonts-lato,,2.0-2
fonts-liberation,,1:1.07.4-5
fonts-liberation2,,2.00.1-7~18.04.2
fonts-lklug-sinhala,,0.6-3
fonts-lohit-beng-assamese,,2.91.5-1
fonts-lohit-beng-bengali,,2.91.5-1
fonts-lohit-deva,,2.95.4-2
fonts-lohit-gujr,,2.92.4-2
fonts-lohit-guru,,2.91.2-1
fonts-lohit-knda,,2.5.4-1
fonts-lohit-mlym,,2.92.2-1
fonts-lohit-orya,,2.91.2-1
fonts-lohit-taml,,2.91.3-1
fonts-lohit-taml-classical,,2.5.4-1
fonts-lohit-telu,,2.5.5-1
fonts-mlym,,2:1.2
fonts-nakula,,1.0-3
fonts-navilu,,1.2-2
fonts-noto-cjk,,1:20170601+repack1-2
fonts-noto-color-emoji,,0~20180424-0ubuntu1
fonts-noto-mono,,20171026-2
fonts-opensymbol,,2:102.10+LibO6.0.7-0ubuntu0.18.04.10
fonts-orya,,2:1.2
fonts-orya-extra,,2.0-5
fonts-pagul,,1.0-7
fonts-sahadeva,,1.0-4
fonts-samyak-deva,,1.2.2-4
fonts-samyak-gujr,,1.2.2-4
fonts-samyak-mlym,,1.2.2-4
