/Display_name,/Product_code,/Version
Terminal,,2.10
Preview,,11.0
System Preferences,,14.0
Activity Monitor,,10.14
Console,,1.1
DiskImageMounter,,559.40.3
System Information,,10.14
Contacts,,12.0
Calendar,,11.0
App Store,,3.0
Installer,,6.2.0
Mail,,13.0
Photos,,5.0
Archive Utility,,10.15
Keychain Access,,10.5
Certificate Assistant,,5.0
Disk Utility,,19.0
FaceTime,,5.0
TextEdit,,1.15
HelpViewer,,6.0
Home,,4.0
Siri,,1.0
Launchpad,,1.0
Podcasts,,1.0.0
Feedback Assistant,,4.6
KeyboardSetupAssistant,,10.7
Photo Library Migration Utility,,2.0
AddPrinter,,15
Spotlight,,1.0
Setup Assistant,,10.10
CoreServicesUIAgent,,340.1
Siri,,200.2.3
Dock,,1.8
loginwindow,,9.0
screencaptureui,,1.0
ManagedClient,,12.1
ControlStrip,,1.0
JapaneseIM,,1.0
TYIM,,1.0
PluginIM,,20
50onPaletteServer,,1.1.0
EmojiFunctionRowIM,,1.0
CharacterPalette,,2.0.1
VietnameseIM,,1.0
KoreanIM,,1.0
Assistive Control,,2.0
VoiceOver Quickstart,,10
Finder,,10.15.2
Directory Utility,,6.0
QuickTime Player,,10.5
Reminders,,7.0
Font Book,,10.0
VoiceOver Utility,,10
AirPort Utility,,6.3.9
ColorSync Utility,,4.14.0
TV,,1.0.3
Maps,,2.1
Notes,,4.7
Messages,,13.0
Books,,2.2
Music,,1.0.3
Chess,,3.16
Stickies,,10.2
Dictionary,,2.3.0
Find My,,1.0
Image Capture,,8.0
Voice Memos,,2.1
Mission Control,,1.2
Grapher,,2.7
Audio MIDI Setup,,3.5
Script Editor,,2.11
Digital Colour Meter,,5.15
Bluetooth File Exchange,,7.0.3
Boot Camp Assistant,,6.1.0
Screenshot,,1.0
Recents,,1.0
iCloud Drive,,1.0
Computer,,1.0
Network,,1.0
AirDrop,,1.0
Recents,,1.0
Migration Assistant,,10.15
Calculator,,10.14
Automator,,2.10
Stocks,,2.3
Photo Booth,,11.0
Time Machine,,1.3
Ticket Viewer,,4.1
Wireless Diagnostics,,1.0
Folder Actions Setup,,1.2
Screen Sharing,,1.7.2
About This Mac,,1.0
Storage Management,,1.0
DVD Player,,6.0
Network Utility,,1.9.2
Display Calibrator,,4.11.0
iCloud Drive,,1.0
Speech Downloader,,9.0.15
SpeechRecognitionServer,,9.0.15
AskPermissionUI,,1.0
CIMFindInputCodeTool,,104
nbagent,,1.0
AccessibilityVisualsAgent,,1.0
IMAutomaticHistoryDeletionAgent,,10.0
STMUIHelper,,1.0
UASharedPasteboardProgressUI,,54.1
Calibration Assistant,,1.0
AXVisualSupportAgent,,1.0
universalAccessAuthWarn,,1.0
UniversalAccessHUD,,1.0
DFRHUD,,1.0
ParentalControls,,4.1
storeuid,,1.0
eaptlstrust,,13.0
Conflict Resolver,,8.1
syncuid,,8.1
IMTransferAgent,,10.0
AOSPushRelay,,1.07
AOSHeartbeat,,1.07
AOSAlertManager,,1.07
Family,,1.0
FindMyMacMessenger,,4.1
FollowUpUI,,1.0
imagent,,10.0
identityservicesd,,10.0
IDSRemoteURLConnectionAgent,,10.0
DiskImages UI Agent,,559.40.3
AppSSOAgent,,1.0
SpeechSynthesizerAuditor,,1.0
ScreenReaderUIServer,,10
KerberosMenuExtra,,1.0
AquaAppearanceHelper,,1.0
iCloudUserNotificationsd,,1.0
SoftwareUpdateNotificationManager,,1.0
VirtualScanner,,4.1
PTPCamera,,10.1
Type4Camera,,10.1
MassStorageCamera,,10.1
AirScanScanner,,15
AutoImporter,,6.7
MakePDF,,10.1
Build Web Page,,10.1
Python,,2.7.16
quicklookd,,5.0
qlmanage,,1.0
Widget Simulator,,1.0
SpeechSynthesisServer,,9.0.24
FontRegistryUIAgent,,81.0
AddressBookSync,,11.0
AddressBookManager,,11.0
AddressBookSourceSync,,11.0
ABAssistantService,,11.0
SmartCard Pairing,,1.0
WebKitPluginHost,,608
QuickLookUIHelper,,5.0
Quick Look Simulator,,1.0
Wish,,8.5.9
SyncServer,,8.1
PrinterProxy,,15
ChineseTextConverterService,,2.1
Summary Service,,2.0
